SalesDate,InvoiceID,CustID
2005-04-30,1,25
2006-10-09,2,23
2010-12-01,3,1
2009-05-15,4,5
2010-08-13,5,16
2010-08-21,6,18
2010-12-22,7,9
2008-01-15,8,9
2009-10-27,9,30
2011-07-29,10,13
2011-05-13,11,3
2005-09-22,12,22
2006-05-16,13,16
2007-10-28,14,2
2010-11-05,15,18
2006-01-06,16,11
2010-11-14,17,2
2010-01-13,18,29
2008-03-19,19,27
2011-08-13,20,2
2007-04-27,21,5
2008-10-25,22,8
2009-08-28,23,27
2009-05-24,24,23
2008-08-13,25,1
2006-10-03,26,26
2007-04-04,27,14
2007-02-15,28,19
2008-05-08,29,10
2008-10-16,30,7
2010-07-08,31,20
2010-04-15,32,34
2009-07-23,33,29
2011-09-29,34,20
2006-06-27,35,39
2008-01-08,36,6
2011-04-30,37,38
2007-02-27,38,8
2010-12-21,39,15
2010-03-02,40,28
2005-06-27,41,21
2011-05-25,42,17
2007-02-23,43,10
2008-10-06,44,36
2010-09-16,45,18
2007-09-15,46,27
2010-10-31,47,8
2011-04-17,48,20
2005-09-17,49,16
2005-06-04,50,34
2005-04-01,51,21
2010-06-03,52,21
2006-11-09,53,3
2011-05-26,54,8
2010-03-13,55,4
2010-04-22,56,3
2010-06-23,57,34
2010-03-03,58,17
2007-12-15,59,22
2009-07-17,60,4
2005-08-05,61,24
2007-08-10,62,2
2008-09-29,63,38
2006-03-16,64,14
2009-04-29,65,22
2011-10-22,66,38
2009-05-11,67,19
2011-10-12,68,20
2005-02-04,69,6
2005-06-17,70,33
2009-09-04,71,8
2009-06-10,72,26
2007-03-16,73,11
2009-07-14,74,18
2010-10-05,75,23
2008-11-01,76,29
2005-12-25,77,6
2006-11-13,78,30
2007-08-12,79,9
2009-11-08,80,22
2010-07-30,81,25
2007-12-13,82,30
2008-04-10,83,3
2005-11-13,84,27
2005-03-03,85,38
2010-06-02,86,7
2008-02-03,87,30
2007-11-14,88,32
2006-10-04,89,24
2005-12-03,90,12
2005-10-26,91,36
2006-07-09,92,8
2008-07-30,93,13
2006-01-08,94,34
2008-08-01,95,21
2008-02-01,96,34
2007-03-20,97,32
2010-06-17,98,1
2008-09-05,99,14
2005-04-06,100,38
2009-03-27,101,34
2006-12-11,102,22
2011-10-29,103,24
2010-12-10,104,6
2005-01-07,105,1
2010-05-15,106,8
2007-03-26,107,34
2009-02-04,108,7
2010-09-20,109,38
2008-06-12,110,4
2006-04-06,111,28
2005-05-30,112,23
2007-07-08,113,34
2005-02-24,114,31
2010-10-14,115,11
2008-11-22,116,32
2010-03-19,117,37
2008-02-13,118,1
2007-04-10,119,25
2008-07-11,120,21
2006-11-06,121,13
2010-09-17,122,21
2007-10-18,123,29
2011-10-14,124,25
2009-02-27,125,15
2010-02-03,126,10
2006-09-18,127,20
2006-05-01,128,8
2007-06-21,129,11
2009-12-10,130,34
2007-06-07,131,6
2007-12-14,132,5
2007-06-17,133,17
2005-02-09,134,30
2009-01-08,135,10
2006-01-15,136,17
2010-01-12,137,38
2010-05-21,138,5
2009-12-18,139,23
2009-08-09,140,36
2007-02-16,141,9
2005-11-30,142,12
2010-11-01,143,19
2008-01-24,144,3
2008-04-23,145,3
2006-05-23,146,30
2008-05-18,147,35
2005-10-08,148,1
2005-01-09,149,30
2011-03-21,150,20
2010-07-16,151,22
2010-09-19,152,3
2011-01-12,153,1
2007-04-10,154,11
2007-11-07,155,28
2007-06-27,156,15
2007-01-23,157,21
2007-10-31,158,9
2010-11-18,159,23
2009-06-17,160,31
2010-03-24,161,3
2007-06-24,162,28
2010-12-08,163,36
2005-11-26,164,19
2008-05-16,165,19
2009-05-03,166,7
2006-06-28,167,36
2006-11-30,168,17
2007-11-18,169,11
2005-07-29,170,19
2007-10-18,171,13
2007-05-24,172,20
2011-04-21,173,31
2011-10-18,174,32
2005-07-03,175,22
2007-04-28,176,33
2005-05-02,177,22
2005-02-23,178,17
2007-02-12,179,34
2005-02-04,180,13
2010-07-07,181,36
2009-12-30,182,16
2011-05-24,183,16
2007-09-28,184,36
2005-03-11,185,27
2011-10-10,186,5
2008-11-04,187,12
2010-03-11,188,8
2010-05-08,189,13
2009-10-12,190,35
2010-10-19,191,39
2006-03-19,192,16
2008-04-09,193,23
2009-03-03,194,35
2009-12-31,195,35
2007-05-19,196,3
2008-04-01,197,3
2005-01-20,198,31
2007-02-02,199,19
2006-07-23,200,14
2006-08-07,201,11
2008-11-19,202,32
2009-08-16,203,33
2009-03-15,204,2
2010-07-06,205,24
2010-02-01,206,15
2009-04-17,207,35
2007-05-19,208,7
2009-08-18,209,32
2005-10-18,210,29
2011-02-11,211,20
2008-01-07,212,29
2006-06-28,213,6
2005-07-19,214,35
2009-07-07,215,26
2008-11-05,216,32
2010-12-25,217,39
2007-07-25,218,38
2008-07-07,219,1
2011-06-02,220,13
2006-08-11,221,33
2009-05-26,222,39
2008-09-11,223,29
2008-03-17,224,16
2011-01-05,225,35
2010-02-20,226,24
2010-12-06,227,19
2009-03-22,228,37
2007-04-15,229,16
2005-02-06,230,37
2011-01-02,231,12
2011-01-19,232,27
2010-10-16,233,29
2006-06-10,234,5
2005-04-02,235,29
2006-12-02,236,14
2006-12-06,237,20
2007-02-26,238,24
2007-07-15,239,21
2006-04-17,240,12
2006-01-12,241,14
2007-05-27,242,1
2011-07-15,243,1
2010-09-08,244,20
2009-11-23,245,35
2007-12-05,246,27
2009-03-04,247,12
2006-07-13,248,35
2010-10-18,249,25
2006-12-04,250,12
2007-10-19,251,9
2007-08-19,252,18
2005-01-01,253,12
2006-10-31,254,37
2010-04-15,255,34
2007-01-05,256,8
2006-07-18,257,21
2008-02-10,258,13
2010-01-13,259,6
2005-03-20,260,37
2005-09-29,261,11
2007-12-29,262,17
2005-04-25,263,24
2011-02-24,264,1
2005-12-13,265,21
2005-02-18,266,13
2006-09-14,267,14
2009-05-09,268,1
2008-06-20,269,37
2007-08-28,270,34
2005-10-13,271,13
2008-02-20,272,11
2010-04-23,273,34
2005-01-31,274,14
2007-10-23,275,30
2007-09-03,276,30
2009-06-13,277,1
2007-05-20,278,3
2010-09-10,279,26
2006-10-01,280,25
2008-01-13,281,15
2005-02-19,282,34
2010-01-24,283,4
2009-07-20,284,26
2005-04-28,285,31
2011-04-27,286,37
2009-12-13,287,33
2008-12-03,288,13
2010-05-16,289,11
2008-05-29,290,38
2005-08-21,291,10
2007-08-14,292,21
2010-07-16,293,15
2005-12-11,294,33
2010-05-12,295,21
2007-05-01,296,36
2011-08-15,297,6
2011-10-06,298,35
2008-08-08,299,37
2007-01-19,300,3
2007-06-01,301,30
2009-11-19,302,10
2011-07-14,303,14
2008-11-11,304,25
2011-06-06,305,23
2006-01-14,306,4
2007-12-12,307,15
2011-06-07,308,24
2008-07-23,309,7
2011-02-11,310,1
2010-05-09,311,10
2005-12-16,312,21
2011-04-30,313,35
2010-12-13,314,13
2005-04-23,315,7
2010-11-09,316,26
2010-07-31,317,10
2005-11-11,318,1
2010-01-25,319,38
2005-10-14,320,20
2011-02-12,321,39
2009-11-10,322,8
2005-03-31,323,2
2006-04-12,324,15
2006-05-31,325,1
2006-11-13,326,22
2011-08-11,327,11
2008-04-18,328,7
2009-02-08,329,17
2010-12-20,330,8
2009-05-28,331,9
2008-02-10,332,7
2008-11-19,333,18
2010-01-14,334,22
2005-05-20,335,32
2007-05-09,336,2
2011-07-13,337,26
2011-10-07,338,7
2006-07-23,339,25
2010-11-09,340,32
2005-12-05,341,8
2011-04-05,342,34
2010-12-05,343,14
2010-07-26,344,3
2009-07-16,345,7
2005-12-12,346,21
2010-01-13,347,28
2007-09-22,348,17
2007-11-04,349,22
2011-10-29,350,27
2005-08-06,351,37
2010-11-18,352,21
2007-04-07,353,34
2008-04-11,354,38
2010-08-12,355,36
2005-03-28,356,35
2009-04-25,357,21
2005-03-02,358,8
2007-12-24,359,2
2007-03-26,360,38
2007-10-12,361,16
2005-02-05,362,11
2005-05-13,363,6
2009-09-28,364,33
2009-02-17,365,33
2008-01-03,366,37
2010-01-22,367,34
2011-03-21,368,20
2009-12-17,369,4
2005-03-13,370,19
2008-04-24,371,13
2010-10-16,372,12
2010-11-12,373,13
2005-03-23,374,26
2008-11-16,375,14
2005-09-23,376,20
2011-09-23,377,7
2008-12-23,378,3
2005-11-04,379,36
2007-09-18,380,29
2011-05-21,381,30
2008-08-11,382,34
2009-03-04,383,10
2005-09-26,384,24
2009-03-24,385,32
2011-07-30,386,6
2005-12-13,387,20
2006-05-16,388,14
2009-05-06,389,13
2007-01-17,390,22
2009-08-06,391,12
2010-07-24,392,28
2010-01-17,393,32
2008-09-21,394,17
2010-08-22,395,22
2005-03-21,396,26
2009-04-13,397,14
2005-08-07,398,16
2008-09-19,399,6
2010-09-17,400,18
2010-01-20,401,35
2005-08-27,402,19
2007-05-09,403,29
2005-01-24,404,9
2005-06-25,405,5
2008-06-26,406,4
2005-01-04,407,28
2007-09-07,408,12
2008-10-18,409,7
2008-04-19,410,25
2008-12-01,411,1
2010-11-15,412,36
2010-12-28,413,19
2009-07-27,414,11
2011-10-15,415,21
2008-09-03,416,12
2005-12-20,417,17
2010-09-18,418,1
2007-12-17,419,25
2006-10-18,420,30
2007-07-10,421,22
2007-03-15,422,37
2010-07-07,423,19
2008-06-24,424,15
2009-10-07,425,14
2010-08-21,426,1
2005-06-19,427,2
2005-07-30,428,28
2006-05-10,429,17
2010-11-20,430,8
2010-11-02,431,6
2010-09-12,432,12
2010-10-07,433,26
2011-04-23,434,35
2005-08-17,435,20
